edate,date,party,partyname,partyabbrev,parfam,coderid,manual,coderyear,testresult,testeditsim,pervote,voteest,presvote,absseat,totseats,progtype,datasetorigin,corpusversion,total,peruncod,per101,per102,per103,per104,per105,per106,per107,per108,per109,per110,per201,per202,per203,per204,per301,per302,per303,per304,per305,per401,per402,per403,per404,per405,per406,per407,per408,per409,per410,per411,per412,per413,per414,per415,per416,per501,per502,per503,per504,per505,per506,per507,per601,per602,per603,per604,per605,per606,per607,per608,per701,per702,per703,per704,per705,per706,per1011,per1012,per1013,per1014,per1015,per1016,per1021,per1022,per1023,per1024,per1025,per1026,per1031,per1032,per1033,per2021,per2022,per2023,per2031,per2032,per2033,per2041,per3011,per3051,per3052,per3053,per3054,per3055,per4011,per4012,per4013,per4014,per4121,per4122,per4123,per4124,per4131,per4132,per5021,per5031,per5041,per5061,per6011,per6012,per6013,per6014,per6061,per6071,per6072,per6081,per7051,per7052,per7061,per7062,per103_1,per103_2,per201_1,per201_2,per202_1,per202_2,per202_3,per202_4,per305_1,per305_2,per305_3,per305_4,per305_5,per305_6,per416_1,per416_2,per601_1,per601_2,per602_1,per602_2,per605_1,per605_2,per606_1,per606_2,per607_1,per607_2,per607_3,per608_1,per608_2,per608_3,per703_1,per703_2,rile,planeco,markeco,welfare,intpeace,datasetversion,id_perm
13-06-56,195606,22420,VVD,VVD,40,113,0,1982,,,8.774,0,,13,150,1,10,,263,31.6,0.8,0,3.8,0.4,0,0,2.3,1.9,0,0,4.9,0,0,0,0.4,0,2.3,0,0,14.1,1.9,3,0,0.4,0,0.4,3,1.1,0,0.4,0,0,3.8,0,0,0,2.7,3.8,1.9,0,3,0,0,0,0,3.4,0,0,1.1,1.9,1.1,0,1.9,1.1,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.4,3,17.9,5.7,0,2018b,C36TYZ
13-06-56,195606,22522,Katholieke Volkspartij (KVP),KVP,50,113,0,1982,,,31.693,0,,49,150,1,10,,504,6.1,1.4,0,0.6,1.2,0.2,0.6,2.6,3.8,0,0,1.8,1.2,0.6,0,2.8,0,2.4,0,0.2,2.6,6.6,0.8,0,2.2,0.2,1.2,1.2,0.6,2.4,4.2,0.4,0,2.6,0,0,0.8,2.6,4.2,7.5,0,5.4,0,1.6,0,8.7,0,0,1.6,7.5,0,0.6,0,3,0.8,0.2,5.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.6,1.2,5.2,11.7,0.8,2018b,AEOK8O
13-06-56,195606,22523,Anti-Revolutionaire Partij,ARP,50,113,0,1982,,,9.909,0,,15,150,1,10,,199,5.5,2.5,0,1,1.5,0,0,2,0.5,0,0,1,2,0,0,1,0,4,0,0,5.5,4.5,2.5,0,4.5,0,1,0.5,2,2,5.5,1.5,0,4.5,0,0,2,1.5,1.5,7.5,0,3,0,0.5,0,9.5,0,0.5,0,9,0,0.5,0,4,0,1.5,3.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.5,4,10,9,0,2018b,I8SBCU
13-06-56,195606,22525,Christelijk-Historische Unie,CHU,50,113,0,1982,,,8.431,0,,13,150,1,10,,56,12.5,3.6,0,0,1.8,0,0,3.6,0,0,0,1.8,0,0,0,0,0,7.1,0,0,3.6,5.4,0,0,3.6,0,0,3.6,0,0,1.8,0,0,3.6,0,0,0,0,5.4,5.4,0,1.8,0,1.8,0,17.9,0,0,3.6,1.8,0,1.8,0,5.4,0,1.8,1.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.9,0,7.2,10.8,0,2018b,5LLTLO
12-03-59,195903,22320,Partij van de Arbeid (P.v.d.A),PvdA,30,113,0,1982,,,30.357,0,,48,150,1,10,,74,20.3,1.3,0,1.3,0,2.7,2.7,1.3,0,0,0,2.7,1.3,0,0,0,0,1.3,0,0,2.7,0,2.7,1.3,0,0,0,6.8,0,0,8.1,0,0,1.3,0,0,0,4.1,2.7,10.8,0,9.5,0,0,0,0,0,0,0,0,0,1.3,0,5.4,2.7,0,5.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-28.2,4,4,13.5,5.4,2018b,CJ1FJT
12-03-59,195903,22420,VVD,VVD,40,113,0,1982,,,12.212,0,,19,150,1,10,,330,24.2,0.6,0.6,2.4,1.5,0,0,1.2,0.6,0,0,0.3,0.3,0.6,0,0.6,0,1.5,0,0.6,11.8,7,4.2,0,1.8,0.6,2.1,0.9,6.4,0.6,1.2,0.6,0,6.4,0,0,0,0.9,6.4,3.9,0,0.6,0,0,0,0,0.3,0,1.5,1.5,0,0.6,0,4.2,0.3,0,0.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.4,4.8,18.2,10.3,0.6,2018b,JI8ZGC
12-03-59,195903,22522,Katholieke Volkspartij (KVP),KVP,50,113,0,1982,,,31.601,0,,49,150,1,10,,77,10.4,1.3,0,2.6,1.3,0,1.3,1.3,1.3,0,0,1.3,2.6,0,0,0,0,0,0,0,11.7,2.6,0,0,2.6,0,0,3.9,0,1.3,1.3,0,0,1.3,0,0,1.3,3.9,2.6,18.2,0,3.9,0,0,0,2.6,0,0,5.2,1.3,0,5.2,0,2.6,1.3,0,3.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-9.1,0,13,20.8,1.3,2018b,PDG4P9
12-03-59,195903,22523,Anti-Revolutionaire Partij,ARP,50,113,0,1982,,,9.386,0,,14,150,1,10,,142,4.9,4.9,0,0.7,2.8,0,0,1.4,0.7,0,0,0,1.4,0.7,0,0,0,1.4,0,0,6.3,8.5,2.1,0,2.1,0,0,4.2,0.7,0.7,6.3,2.8,0,6.3,0,0,0,2.1,5.6,4.9,0,1.4,0,0.7,0,5.6,0,0.7,0.7,7,0,0.7,0,6.3,0,0,4.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.9,4.9,12.6,10.5,0,2018b,ZZY3DK
12-03-59,195903,22525,Christelijk-Historische Unie,CHU,50,113,0,1982,,,8.108,0,,12,150,1,10,,64,18.8,0,0,1.6,1.6,0,0,1.6,1.6,0,0,0,0,0,0,0,0,0,0,1.6,3.1,3.1,0,0,3.1,0,0,3.1,0,0,4.7,0,0,1.6,0,0,0,1.6,4.7,6.3,0,0,0,1.6,0,15.6,0,0,0,3.1,1.6,4.7,0,7.8,0,0,7.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,0,4.7,11,0,2018b,CM9FQ1
15-05-63,196305,22320,Partij van de Arbeid (P.v.d.A),PvdA,30,113,0,1982,,,28.011,0,,43,150,1,10,,179,16.3,1.1,0.6,1.1,3.4,0,6.7,6.2,2.3,0,0,2.3,3.9,0.6,0,1.1,0,1.7,0,0,0.6,0.6,1.7,1.1,0,0,0,1.1,0,1.1,6.2,1.7,1.1,0.6,0,0,0.6,3.4,8.4,12.4,0,3.4,0,0.6,0,0,0,0,1.7,1.1,1.1,1.7,0,0.6,0,0,2.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-30.6,4.5,1.2,20.8,7.3,2018b,NXU2R6
